Film,S,M,L
Age of Ultron,12,5,5
Ant-Man,8,7,4
Ant-Man and the Wasp,6,7,4
Black Panther,9,6,5
Captain America: The First Avenger,7,6,6
Captain America: The Winter Soldier,10,4,6
Captain Marvel,8,5,5
Civil War,11,6,5
Doctor Strange,9,6,5
Endgame,13,8,5
Guardians of the Galaxy,7,6,5
Guardians of the Galaxy 2,6,6,6
Infinity War,12,8,3
Iron Man,8,4,6
Iron Man 2,9,5,5
Iron Man 3,7,5,6
The Avengers,11,6,5
Thor,8,4,5
Thor Ragnarok,9,9,4
Thor: The Dark World,8,5,5
